stock_name,issue_date,error_type
TIGER 바이오TOP10,2020-10-07,not_code
HANARO 고배당,2019-04-23,not_code
TIGER 미국투자등급회사채액티브(H),2023-05-31,not_code
지스마트글로벌,2010-02-04,not_code
GV,2005-11-28,not_code
ACE 포스코그룹포커스,2023-10-17,not_code
TIGER Fn반도체TOP10,2021-08-10,not_code
ITF 200,2023-12-21,not_code
TIGER AI코리아그로스액티브,2020-09-29,not_code
KODEX 미국S&P500헬스케어,2023-03-21,not_code
TIGER 미국테크TOP10+10%프리미엄,2024-01-16,not_code
TIGER 미국필라델피아반도체나스닥,2021-04-09,not_code
KODEX 미국ETF산업Top10 Indxx,2022-05-17,not_code
HANARO 글로벌반도체TOP10 SOLACTIVE,2023-08-01,not_code
RISE 글로벌리얼티인컴,2024-02-20,not_code
HANARO 원자력iSelect,2022-06-28,not_code
SOL 미국TOP5채권혼합40 Solactive,2022-11-29,not_code
코웨이,2001-08-07,error
KODEX 200선물인버스2X,2016-09-22,not_code
SOL 자동차소부장Fn,2023-08-22,not_code
에코마이스터,2018-03-15,not_code
