stock_name,issue_date,error_type
공구우먼,2022-03-23,not_code
PLUS 태양광&ESS,2023-06-20,not_code
진로발효,1993-12-29,not_code
구영테크,2002-02-07,not_code
펄어비스,2017-09-14,not_code
NAVER,2008-11-28,not_code
원일특강,1994-06-28,not_code
흥국화재,1974-12-05,not_code
케스피온,2005-11-29,not_code
SOL 국고채10년,2022-09-06,not_code
인바디,2000-12-14,not_code
우리로,2012-11-27,not_code
씨에스윈드,2014-11-27,not_code
3S,2002-04-23,not_code
씨앤씨인터내셔널,2021-05-17,not_code
KODEX 반도체,2006-06-27,not_code
와이랩,2023-07-20,not_code
코오롱,1975-06-23,not_code
노루페인트,2006-07-03,not_code
동진쎄미켐,1999-12-21,not_code
RISE 수소경제테마,2020-10-29,not_code
TBH글로벌,2005-12-19,not_code
동아화성,2001-12-26,not_code
에스티큐브,2001-07-05,not_code
메디앙스,1995-01-03,not_code
이엔에프테크놀로지,2009-05-28,not_code
자이에스앤디,2019-11-06,not_code
동부건설,1978-10-30,not_code
GST,2006-02-01,not_code
하츠,2003-02-11,not_code
플래티어,2021-08-12,not_code
포스코인터내셔널,2001-03-23,not_code
쎄트렉아이,2008-06-13,not_code
알톤,2010-07-02,not_code
엔시스,2021-04-01,not_code
하림,2011-05-02,not_code
팜스코,1999-10-25,not_code
씨엔플러스,2011-11-02,not_code
CNH,1994-10-07,not_code
OQP,2005-10-27,not_code
세방전지,1987-11-28,not_code
영흥,2010-01-25,not_code
케이씨에스,2010-04-14,not_code
아진산업,2015-12-22,not_code
카카오페이,2021-11-03,not_code
진매트릭스,2009-11-06,not_code
동일기연,1997-07-18,not_code
디어유,2021-11-10,not_code
퓨릿,2023-10-18,not_code
성도이엔지,2000-01-11,not_code
이아이디,2007-11-01,not_code
KX,2011-05-25,not_code
제일파마홀딩스,1988-01-20,not_code
엘앤씨바이오,2018-11-01,not_code
세보엠이씨,1996-12-23,not_code
이노션,2015-07-17,not_code
GS,2004-08-05,not_code
HDC,1996-10-16,not_code
사피엔반도체,2024-02-19,not_code
엠에스씨,1993-10-12,not_code
SG,2018-01-26,not_code
라온테크,2021-06-17,not_code
글로벌에스엠,2009-12-23,not_code
넥스트칩,2022-07-01,not_code
지어소프트,2002-05-28,not_code
알파홀딩스,2010-09-17,not_code
그래디언트,1999-07-05,not_code
MDS테크,2006-09-26,not_code
멀티캠퍼스,2006-11-16,not_code
케이피티유,2002-04-25,not_code
서원,1996-01-30,not_code
삼호개발,2005-05-12,not_code
플레이위드,1994-11-07,not_code
계양전기,1988-07-06,not_code
삼양패키징,2017-11-29,not_code
KODEX TDF2030액티브,2022-06-30,not_code
광명전기,1990-09-14,not_code
셀레믹스,2020-08-21,not_code
쏘카,2022-08-22,not_code
광주신세계,2002-02-07,not_code
나무가,2015-11-12,not_code
TIGER 차이나반도체FACTSET,2021-08-10,not_code
삼영무역,1988-03-28,not_code
HANARO CAPEX설비투자iSelect,2023-04-18,not_code
오픈엣지테크놀로지,2022-09-26,not_code
삼양식품,1975-06-30,not_code
농심홀딩스,2003-07-30,not_code
삼표시멘트,2001-02-01,not_code
SOL 미국배당다우존스,2022-11-15,not_code
HANARO Fn K-POP&미디어,2021-07-30,not_code
우진,2010-07-26,not_code
롯데렌탈,2021-08-19,not_code
현대글로비스,2005-12-26,not_code
NEW,2014-12-23,not_code
프레스티지바이오파마,2021-02-05,not_code
제이준코스메틱,1995-07-08,not_code
코리아에셋투자증권,2019-11-20,not_code
클래시스,2015-04-03,not_code
에코바이오,2001-05-29,not_code
에이스토리,2019-07-19,not_code
ACE 코스닥150,2020-05-07,not_code
지놈앤컴퍼니,2020-12-23,not_code
해성에어로보틱스,2021-04-21,not_code
우리산업,2015-05-06,not_code
쇼박스,2006-07-07,not_code
KH 필룩스,2001-12-26,not_code
네오펙트,2018-11-28,not_code
티플랙스,2009-04-23,not_code
어보브반도체,2009-06-05,not_code
와이엠텍,2021-09-10,not_code
디앤씨미디어,2017-08-01,not_code
제이엠티,2007-10-12,not_code
코어라인소프트,2023-09-18,not_code
PLUS K리츠,2022-05-24,not_code
엠플러스,2017-09-20,not_code
GS글로벌,1976-06-26,not_code
코이즈,2012-09-27,not_code
현진소재,2002-02-15,not_code
KODEX 레버리지,2010-02-22,not_code
리더스코스메틱,2003-01-15,not_code
케이티알파,1999-12-24,not_code
KODEX 미디어&엔터테인먼트,2017-03-28,not_code
고려개발,1978-10-30,not_code
KOSEF 미국S&P500,2022-12-20,not_code
마크로젠,2000-02-22,not_code
위지트,1999-12-10,not_code
신영와코루,1976-12-28,not_code
SOL 200 Top10,2021-12-09,not_code
드림어스컴퍼니,2003-12-19,not_code
오리온홀딩스,1975-06-27,not_code
호텔신라,1991-03-12,not_code
SBS,2003-06-25,not_code
TIGER 미국배당다우존스,2023-06-20,not_code
삼영에스앤씨,2021-05-21,not_code
바이젠셀,2021-08-25,not_code
효성화학,2018-07-13,not_code
코윈테크,2019-08-05,not_code
대현,1990-09-20,not_code
엘엠에스,2007-10-12,not_code
컴투스홀딩스,2009-07-30,not_code
조이시티,2008-05-30,not_code
CBI,1993-12-29,not_code
티앤알바이오팹,2018-11-28,not_code
한선엔지니어링,2023-11-24,not_code
퓨쳐켐,2016-12-01,not_code
바이오인프라,2023-03-02,not_code
효성,1973-06-30,not_code
현대무벡스,2019-05-08,not_code
넥센,1987-12-19,not_code
SBI인베스트먼트,1989-09-06,not_code
GS홈쇼핑,2000-01-20,not_code
동국알앤에스,2004-02-13,not_code
PI첨단소재,2021-08-09,not_code
제이웨이,2002-01-10,not_code
LF,2006-12-01,not_code
에코앤드림,2020-07-30,not_code
와이지엔터테인먼트,2011-11-23,not_code
포스코퓨처엠,2019-05-29,not_code
인베니아,2005-02-04,not_code
아이티센,2014-12-23,not_code
보성파워텍,1994-09-07,not_code
삼익THK,1989-09-26,not_code
한프,2002-07-16,not_code
풍원정밀,2022-02-28,not_code
대창,1989-12-05,not_code
메디포스트,2005-07-29,not_code
백산,1999-08-11,not_code
에이스테크,2006-03-27,not_code
피엔에이치테크,2021-02-16,not_code
영림원소프트랩,2020-08-12,not_code
원익홀딩스,1996-09-24,not_code
참존글로벌,2013-04-03,not_code
KCC건설,2001-08-21,not_code
CS,2004-06-04,not_code
에이치엔티,2016-11-28,not_code
TIGER BBIG,2020-10-07,not_code
LX세미콘,2022-11-03,not_code
PN풍년,1995-01-04,not_code
바른손이앤에이,1999-08-13,not_code
스카이문스테크놀로지,2001-06-26,not_code
메지온,2012-01-20,not_code
유성티엔에스,1999-12-10,not_code
크리스탈신소재,2016-01-28,not_code
우리기술,2000-06-22,not_code
원풍,1992-12-18,not_code
대양금속,1994-04-29,not_code
일진하이솔루스,2021-09-01,not_code
서부T&D,1995-10-06,not_code
녹원씨엔아이,2003-07-01,not_code
와이엠티,2017-04-27,not_code
윌비스,1989-07-28,not_code
대한해운,1992-04-23,not_code
코스모신소재,1987-09-28,not_code
넥슨게임즈,2015-09-25,not_code
미원에스씨,2017-05-22,not_code
경보제약,2015-06-29,not_code
KB제29호스팩,2024-06-21,not_code
대한유화,1999-08-11,not_code
SNT홀딩스,2002-10-22,not_code
씨티케이,2017-12-07,not_code
에스비비테크,2022-10-17,not_code
ACE 글로벌반도체TOP4 Plus SOLACTIVE,2022-11-15,not_code
매일유업,2017-06-05,not_code
서울제약,2000-08-18,not_code
카카오게임즈,2020-09-10,not_code
매직마이크로,2015-11-19,not_code
한국전력,1989-08-10,not_code
ACE 2차전지&친환경차액티브,2021-05-25,not_code
코람코더원리츠,2022-03-28,not_code
로보스타,2011-10-17,not_code
픽셀플러스,2015-06-12,not_code
이엘피,2017-04-06,not_code
KG케미칼,1989-08-25,not_code
동남합성,1996-12-24,not_code
CG인바이츠,2006-01-06,not_code
아이씨티케이,2024-05-17,not_code
미코바이오메드,2020-10-22,not_code
레이언스,2016-04-11,not_code
롯데웰푸드,2017-10-30,not_code
샘코,2017-09-15,not_code
영진약품,1973-06-25,not_code
제일바이오,2002-01-24,not_code
케이피에스,2017-09-06,not_code
KODEX 증권,2008-05-29,not_code
금호타이어,2005-02-17,not_code
디씨엠,1999-08-18,not_code
덕성,1987-09-25,not_code
에이텍,2001-05-24,not_code
한컴위드,2001-11-01,not_code
포티스,2013-01-29,not_code
대양제지,1993-12-29,not_code
ACE 미국30년국채액티브(H),2023-03-14,not_code
포시에스,2015-02-11,not_code
LX홀딩스,2021-05-27,not_code
DL,1976-02-02,not_code
디바이스이엔지,2017-12-20,not_code
BF랩스,2011-07-29,not_code
유아이엘,2001-08-02,not_code
세아홀딩스,2001-07-30,not_code
YBM넷,2004-06-08,not_code
안트로젠,2016-02-15,not_code
전방,1968-10-21,not_code
제낙스,2002-06-27,not_code
에스유홀딩스,1997-01-07,not_code
팸텍,2023-05-23,not_code
에스에프에이,2001-12-18,not_code
테스,2008-05-20,not_code
KODEX WTI원유선물인버스(H),2017-06-13,not_code
아리온,2005-08-05,not_code
