stock_name,issue_date,error_type
이스트소프트,2008-07-01,not_code
한국선재,1995-06-19,not_code
디앤디플랫폼리츠,2021-08-27,not_code
대신정보통신,1995-10-06,not_code
케이엘넷,2002-03-12,not_code
이루다,2020-08-06,not_code
WISCOM,1996-11-22,not_code
한미글로벌,2009-06-23,not_code
SJM홀딩스,1997-02-12,not_code
티에스넥스젠,2001-07-03,not_code
KODEX 코스닥글로벌,2023-06-29,not_code
RISE 미국S&P배당킹,2023-06-27,not_code
중앙첨단소재,2001-07-31,not_code
한국컴퓨터,2002-01-15,not_code
SDN,2009-05-19,not_code
아모레G,1973-04-30,not_code
인포바인,2010-02-09,not_code
NICE평가정보,2023-08-08,not_code
핸디소프트,2016-11-24,not_code
KODEX 미국나스닥100(H),2022-12-02,not_code
하나마이크론,2005-10-11,not_code
인터플렉스,2003-01-22,not_code
한미반도체,2005-07-22,not_code
HD현대건설기계,2017-05-10,not_code
더테크놀로지,2001-10-11,not_code
서울반도체,2002-01-17,not_code
KOSEF Fn중소형,2019-08-13,not_code
조광피혁,1977-05-27,not_code
디엔에프,2007-11-16,not_code
수산아이앤티,2016-10-11,not_code
KODEX 글로벌비만치료제TOP2 Plus,2024-02-14,not_code
샘씨엔에스,2021-05-20,not_code
상신브레이크,2004-10-27,not_code
GS리테일,2011-12-23,not_code
TIGER 차이나클린에너지SOLACTIVE,2021-08-10,not_code
에너토크,2006-02-01,not_code
미래컴퍼니,2005-01-04,not_code
나노엔텍,2000-08-16,not_code
엠벤처투자,1989-03-14,not_code
KT,1998-12-23,not_code
HANARO Fn K-뉴딜디지털플러스,2020-11-10,not_code
동일제강,2015-09-24,not_code
원풍물산,1997-07-18,not_code
한익스프레스,1989-07-25,not_code
한창산업,2005-02-01,not_code
코셈,2024-02-23,not_code
RISE 내수주플러스,2019-06-20,not_code
TIGER 미국S&P500배당귀족,2022-05-17,not_code
피에스케이,2019-05-10,not_code
KODEX 일본부동산리츠(H),2020-05-13,not_code
폴라리스오피스,2005-10-28,not_code
삼성생명,2010-05-12,not_code
KBSTAR 23-11 회사채(AA-이상)액티브,2022-11-22,not_code
정원엔시스,2000-09-07,not_code
삼진,1997-07-14,not_code
화인베스틸,2014-07-22,not_code
바이오노트,2022-12-22,not_code
이랜텍,2002-05-09,not_code
KCC,1973-06-25,not_code
신세계 I&C,2006-05-18,not_code
이크레더블,2008-10-24,not_code
사조산업,1989-07-25,not_code
자이글,2016-09-06,not_code
에스에이티,2006-11-28,not_code
미투온,2016-10-10,not_code
휴비츠,2003-10-31,not_code
KCI,2001-01-03,not_code
잇츠한불,2015-12-28,not_code
하이트진로홀딩스,1973-09-19,not_code
