stock_name,issue_date,error_type
SK케미칼,2018-01-05,not_code
한화오션,2001-02-02,not_code
KODEX 미국서학개미,2023-12-27,not_code
테고사이언스,2014-11-06,not_code
테라사이언스,2004-01-06,not_code
아나패스,2010-11-05,not_code
HLB테라퓨틱스,2010-03-26,not_code
인터파크,2014-02-06,not_code
HANARO 미국S&P500,2022-06-08,not_code
휴온스,2016-06-03,not_code
캐리소프트,2019-10-29,not_code
페이퍼코리아,1976-06-26,not_code
코메론,2001-01-16,not_code
대한뉴팜,2002-02-26,not_code
SM Life Design,2002-05-30,not_code
히어로즈 글로벌리츠이지스액티브,2022-07-29,not_code
KBI메탈,1994-12-29,not_code
한일사료,1994-11-07,not_code
HDC현대산업개발,2018-06-12,not_code
유진기업,1994-10-07,not_code
TIGER 미국캐시카우100,2023-09-19,not_code
HANARO 미국애그테크,2023-11-28,not_code
원림,1990-04-20,not_code
KODEX 한국부동산리츠인프라,2024-03-05,not_code
한신기계,1987-07-24,not_code
시너지이노베이션,2004-08-13,not_code
비케이홀딩스,2004-06-29,not_code
미원화학,2011-02-15,not_code
LB세미콘,2011-01-31,not_code
KODEX K-미래차액티브,2021-05-25,not_code
고려아연,1990-07-28,not_code
비트나인,2021-11-10,not_code
KODEX 미국S&P500금융,2023-03-21,not_code
동원F&B,2000-11-23,not_code
대호에이엘,2002-11-11,not_code
대우부품,1989-08-25,not_code
대상홀딩스,2005-08-17,not_code
KODEX 200 중소형,2015-09-01,not_code
제이아이테크,2022-11-04,not_code
SK가스,1997-08-27,not_code
코스나인,2005-10-05,not_code
대원,2017-12-01,not_code
JW생명과학,2016-10-27,not_code
키다리스튜디오,1996-07-03,not_code
스카이라이프,2011-06-03,not_code
다날,2004-07-23,not_code
KODEX 미국S&P500커뮤니케이션,2023-08-01,not_code
유니켐,1989-12-14,not_code
대동금속,1993-07-30,not_code
에스피시스템스,2019-08-14,not_code
로지시스,2015-07-29,not_code
동양,1976-06-25,not_code
로보로보,2015-04-22,not_code
케이엠더블유,2000-03-21,not_code
피씨엘,2017-02-23,not_code
한진,1974-08-12,not_code
성일하이텍,2022-07-28,not_code
에스에이엠티,2000-05-23,not_code
다산네트웍스,2000-06-22,not_code
RISE 메타버스,2021-10-13,not_code
한국정보공학,2000-07-06,not_code
솔트웨어,2019-08-20,not_code
디젠스,2012-11-22,not_code
시큐레터,2023-08-24,not_code
올릭스,2018-07-18,not_code
KoAct 바이오헬스케어액티브,2023-08-03,not_code
인트론바이오,2011-01-26,not_code
부산산업,1990-09-14,not_code
인지디스플레,1999-12-14,not_code
JTC,2018-04-06,not_code
