stock_name,issue_date,error_type
RISE 200위클리커버드콜,2024-03-05,not_code
코엔텍,2004-06-18,not_code
세중,2000-06-09,not_code
동양고속,2005-07-25,not_code
알에스오토메이션,2017-08-11,not_code
대창스틸,2014-12-05,not_code
주연테크,2006-11-15,not_code
무림P&P,1989-06-20,not_code
교보증권,2002-07-18,not_code
부방,1994-02-25,not_code
EDGC,2018-06-26,not_code
뉴로메카,2022-11-04,not_code
파워로직스,2003-07-25,not_code
갤럭시아에스엠,1989-11-14,not_code
대한전선,1968-12-27,not_code
KG에코솔루션,2013-07-24,not_code
케이피에프,1994-12-29,not_code
이수페타시스,2003-10-07,not_code
우림피티에스,2009-04-28,not_code
국순당,2000-08-24,not_code
리드코프,1996-01-19,not_code
삼목에스폼,1996-05-03,not_code
명문제약,2008-07-10,not_code
위지윅스튜디오,2018-12-20,not_code
iMBC,2005-01-21,not_code
비에이치,2023-06-20,not_code
빛과전자,2004-02-13,not_code
케이사인,2014-04-28,not_code
코센,1990-07-27,not_code
대성산업,2010-07-30,not_code
넷마블,2017-05-12,not_code
티웨이항공,2018-08-01,not_code
스틱인베스트먼트,1997-11-25,not_code
샌즈랩,2023-02-15,not_code
이트론,2008-01-25,not_code
태광,1994-09-07,not_code
알비더블유,2021-11-22,not_code
대웅제약,2002-11-01,not_code
셀트리온,2018-02-09,not_code
KH바텍,2002-05-21,not_code
동아타이어,2017-11-29,not_code
알티캐스트,2013-12-06,not_code
국보,1989-12-02,not_code
현대제철,1987-05-23,not_code
엑셈,2014-11-07,not_code
락앤락,2010-01-28,not_code
피에스텍,1991-01-04,not_code
이니텍,2001-11-15,not_code
에이프릴바이오,2022-07-28,not_code
쎌바이오텍,2002-12-13,not_code
TIGER 스페이스테크iSelect,2023-07-25,not_code
파인디앤씨,2001-07-26,not_code
성문전자,1990-03-24,not_code
한화시스템,2019-11-13,not_code
제이엔비,2023-11-24,not_code
녹십자,1989-08-01,not_code
코세스,2006-11-08,not_code
코썬바이오,2016-12-09,not_code
애경케미칼,2012-09-17,not_code
차백신연구소,2021-10-22,not_code
위메이드,2009-12-18,not_code
큐알티,2022-11-02,not_code
KTcs,2010-09-16,not_code
커넥트웨이브,2011-01-24,not_code
카카오뱅크,2021-08-06,not_code
액트로,2018-08-28,not_code
KODEX 200,2002-10-14,not_code
동원산업,1989-03-07,not_code
기산텔레콤,1999-11-18,not_code
씨이랩,2021-02-24,not_code
유일로보틱스,2022-03-18,not_code
슈프리마에이치큐,2008-07-11,not_code
이엠텍,2007-05-02,not_code
HLB이노베이션,2001-01-18,not_code
빛샘전자,2012-03-21,not_code
티씨케이,2003-08-18,not_code
현대에버다임,2003-11-14,not_code
넥스틸,2023-08-21,not_code
더라미,1997-07-04,not_code
한주라이트메탈,2023-01-19,not_code
세우글로벌,1989-09-05,not_code
성창기업지주,1976-06-02,not_code
웹케시,2019-01-25,not_code
코텍,2001-07-10,not_code
메이슨캐피탈,1996-09-02,not_code
덕산하이메탈,2005-10-14,not_code
파크시스템스,2015-12-17,not_code
성안,1995-11-10,not_code
한국타이어앤테크놀로지,2012-10-04,not_code
캠시스,2001-05-17,not_code
캡스톤파트너스,2023-11-15,not_code
뉴파워프라즈마,2016-11-30,not_code
한국정보인증,2014-02-04,not_code
홈센타홀딩스,2002-07-11,not_code
미래에셋증권,1975-09-30,not_code
수산중공업,1991-08-30,not_code
제이알글로벌리츠,2020-08-07,not_code
엠아이큐브솔루션,2023-08-04,not_code
브이엠,2018-08-23,not_code
마이티 다이나믹퀀트액티브,2022-10-25,not_code
큐라티스,2023-06-15,not_code
KODEX 미국클린에너지나스닥,2022-03-22,not_code
와이엔텍,2005-12-23,not_code
현대바이오,2002-08-08,not_code
지오엘리먼트,2021-11-11,not_code
넥스트아이,2011-06-14,not_code
좋은사람들,1997-11-03,not_code
세코닉스,2001-08-09,not_code
에스원,1996-01-30,not_code
제룡전기,1997-08-18,not_code
HL홀딩스,2010-05-19,not_code
더코디,2015-12-29,not_code
KODEX AI반도체핵심장비,2023-11-21,not_code
알서포트,2011-01-05,not_code
강원에너지,2009-11-20,not_code
넵튠,2015-06-18,not_code
파수,2013-10-18,not_code
HD현대에너지솔루션,2019-11-19,not_code
옵티팜,2018-10-26,not_code
전진바이오팜,2018-12-14,not_code
세명전기,1991-12-26,not_code
에쎈테크,2000-08-29,not_code
한국화장품제조,1978-02-06,not_code
쌍용차,1975-05-29,not_code
해성산업,1999-04-16,not_code
엑스큐어,2010-06-09,not_code
승일,2001-01-18,not_code
제이브이엠,2006-06-07,not_code
평화홀딩스,1986-03-31,not_code
삼성전자우,1990-01-01,not_code
대봉엘에스,2005-12-23,not_code
신흥,1991-02-08,not_code
비아트론,2012-05-04,not_code
서희건설,1999-12-24,not_code
엔피케이,2000-10-12,not_code
트윔,2021-11-17,not_code
씨씨에스,2003-05-30,not_code
우정바이오,2015-05-18,not_code
에스디시스템,2010-07-16,not_code
RISE 25-03 회사채(AA-이상)액티브,2023-08-17,not_code
강동씨앤엘,2014-08-13,not_code
원텍,2019-12-19,not_code
국일제지,2004-10-22,not_code
제이오,2023-02-16,not_code
케이씨티,2006-12-13,not_code
엔씨소프트,2003-05-22,not_code
대산F&B,2007-07-18,not_code
미래나노텍,2007-10-01,not_code
인피니티엔티,1993-04-21,not_code
신세계건설,2002-06-17,not_code
아즈텍WB,2000-10-26,not_code
한국철강,2008-09-29,not_code
비비씨,2020-09-21,not_code
TIGER 차이나전기차SOLACTIVE,2020-12-08,not_code
대동,1975-06-27,not_code
CR홀딩스,1978-06-30,not_code
아이진,2015-11-16,not_code
액토즈소프트,2001-08-14,not_code
바이오니아,2005-12-29,not_code
컴투스,2007-07-06,not_code
메가터치,2023-11-09,not_code
럭슬,2000-11-21,not_code
인터로조,2010-07-28,not_code
에스제이지세종,2002-09-25,not_code
현대해상,1989-08-25,not_code
위메이드맥스,2009-06-03,not_code
바이오스마트,2000-06-22,not_code
DH오토웨어,1995-05-22,not_code
세방,1977-05-19,not_code
디티씨,2002-12-30,not_code
TIGER Fn메타버스,2021-10-13,not_code
이노진,2023-02-20,not_code
신한알파리츠,2018-08-08,not_code
장원테크,2016-07-15,not_code
미래에셋생명,2015-07-08,not_code
오디텍,2007-10-08,not_code
아시아나항공,2008-03-28,not_code
뉴트리,2018-12-13,not_code
CJ ENM,1999-11-23,not_code
참엔지니어링,1987-11-12,not_code
서전기전,2014-12-24,not_code
범양건영,1988-05-25,not_code
삼천리,1976-12-23,not_code
한국가스공사,1999-12-15,not_code
휴먼테크놀로지,2015-09-23,not_code
양지사,1996-10-24,not_code
화승엔터프라이즈,2016-10-04,not_code
유니드,2004-12-03,not_code
영원무역,2009-07-30,not_code
컨텍,2023-11-09,not_code
SCL사이언스,2019-02-01,not_code
피에스케이홀딩스,1997-01-07,not_code
WOORI 200,2022-12-16,not_code
AJ네트웍스,2015-08-21,not_code
조일알미늄,1988-11-22,not_code
에프엔씨엔터,2014-12-04,not_code
진흥기업,1977-06-25,not_code
토마토시스템,2023-04-27,not_code
ACE 스마트퀄리티,2019-04-16,not_code
POSCO홀딩스,1988-06-10,not_code
KODEX 미국S&P500(H),2022-12-02,not_code
HANARO Fn5G산업,2020-10-29,not_code
조광ILI,2001-01-18,not_code
티웨이홀딩스,1977-06-30,not_code
베뉴지,1993-11-05,not_code
세이브존I&C,2002-07-25,not_code
대우건설,2001-03-23,not_code
한성크린텍,2003-01-17,not_code
에이비엘바이오,2018-12-19,not_code
덕산네오룩스,2015-02-06,not_code
한국특강,1989-11-13,not_code
LB루셈,2021-06-11,not_code
OCI홀딩스,1985-07-09,not_code
윈스,2011-05-02,not_code
SK바이오사이언스,2021-03-18,not_code
인성정보,1999-07-30,not_code
트루엔,2023-05-17,not_code
풍국주정,1994-11-23,not_code
스포츠서울,2004-01-16,not_code
KPX케미칼,1994-12-27,not_code
원익IPS,2016-05-02,not_code
스톰테크,2023-11-20,not_code
이브이첨단소재,2010-12-27,not_code
케이씨피드,1995-07-07,not_code
마이크로컨텍솔,2008-09-23,not_code
아이윈,2006-10-20,not_code
현대차,1974-06-28,not_code
NICE,2004-02-04,not_code
교촌에프앤비,2020-11-12,not_code
씨유박스,2023-05-19,not_code
와이지-원,1997-08-06,not_code
케이아이엔엑스,2011-02-08,not_code
신흥에스이씨,2017-09-27,not_code
흥아해운,1976-06-29,not_code
대성창투,1999-11-30,not_code
KISCO홀딩스,1989-11-13,not_code
케이엔알시스템,2024-03-07,not_code
국동,1996-12-24,not_code
샘표,1976-06-29,not_code
경농,1977-06-30,not_code
펌텍코리아,2019-07-04,not_code
KODEX 철강,2009-10-30,not_code
이화산업,1994-04-29,not_code
매커스,2007-02-12,not_code
HD현대마린솔루션,2024-05-08,not_code
국도화학,1989-08-05,not_code
에스티아이,2002-02-28,not_code
티엘비,2020-12-14,not_code
유화증권,1987-08-24,not_code
푸른소나무,2003-12-29,not_code
고려제강,1976-05-25,not_code
알엔투테크놀로지,2016-06-22,not_code
뉴프렉스,2006-01-17,not_code
광진실업,1996-01-03,not_code
프럼파스트,2002-01-15,not_code
비츠로시스,2001-12-26,not_code
레드캡투어,2000-02-01,not_code
까스텔바작,2019-06-10,not_code
에이티넘인베스트,1991-07-12,not_code
일진파워,2007-11-06,not_code
한솔아이원스,2013-02-07,not_code
루닛,2022-07-21,not_code
대보마그네틱,2018-11-06,not_code
AP위성,2016-03-04,not_code
유엔젤,2003-07-01,not_code
SG글로벌,1976-06-29,not_code
이엔플러스,2003-12-23,not_code
엘앤에프,2024-01-29,not_code
강스템바이오텍,2015-12-21,not_code
팬스타엔터프라이즈,2002-01-10,not_code
