stock_name,issue_date,error_type
중앙백신,2003-10-31,not_code
부국철강,2008-10-14,not_code
KOSEF 코스닥글로벌,2023-10-24,not_code
ES큐브,2002-04-25,not_code
삼성전자,1975-06-11,not_code
특수건설,1997-08-06,not_code
TIGER 글로벌자율주행&전기차SOLACTIVE,2021-07-20,not_code
선바이오,2022-10-05,not_code
영화금속,1990-01-25,not_code
시노펙스,1995-04-20,not_code
마이티 26-09 특수채(AAA)액티브,2023-09-21,not_code
STX그린로지스,2023-09-15,not_code
소리바다,2001-10-09,not_code
버넥트,2023-07-26,not_code
에스에스알,2018-08-06,not_code
BGF,2014-05-19,not_code
노블엠앤비,2012-07-13,not_code
나노캠텍,2007-01-30,not_code
코아시아씨엠,2014-06-02,not_code
메리츠금융지주,2011-05-13,not_code
포니링크,2002-08-22,not_code
고영,2008-06-03,not_code
일신방직,1973-05-23,not_code
매일홀딩스,1999-05-14,not_code
JW홀딩스,2007-07-31,not_code
지역난방공사,2010-01-29,not_code
RISE 미국S&P500,2021-04-09,not_code
경방,1956-03-03,not_code
헬릭스미스,2005-12-29,not_code
국보디자인,2002-09-05,not_code
선도전기,1989-11-30,not_code
일동홀딩스,1975-06-28,not_code
TIGER 인도니프티50,2023-04-14,not_code
TIGER 미국S&P500선물(H),2011-07-18,not_code
엘컴텍,2000-08-24,not_code
S-Oil,1987-05-27,not_code
오성첨단소재,2001-08-07,not_code
HANARO Fn골프테마,2021-11-24,not_code
에이리츠,2011-07-14,not_code
인화정공,2010-10-22,not_code
TIGER 미국테크TOP10채권혼합,2023-12-05,not_code
하이브,2020-10-15,not_code
레이크머티리얼즈,2017-12-12,not_code
아스타,2017-03-20,not_code
KPX홀딩스,2006-10-12,not_code
미디어젠,2019-11-05,not_code
RISE KP달러채권액티브,2023-11-09,not_code
한독크린텍,2019-09-05,not_code
비보존 제약,2005-11-18,not_code
에이피알,2024-02-27,not_code
태경산업,1996-01-30,not_code
백금T&A,2002-02-05,not_code
젬백스,2005-06-24,not_code
스코넥,2022-02-04,not_code
삼지전자,1999-12-16,not_code
피엠티,2016-12-12,not_code
오에스피,2022-10-14,not_code
엔바이오니아,2019-10-24,not_code
